country_id,country
454,Lesotho
455,Angola
456,Afghanistan
457,Botswana
458,Benin
459,Madagascar
460,Haiti
461,Yemen
462,South Sudan
463,Liberia
464,Guinea
465,Togo
466,Rwanda
467,Syria
468,Tanzania
469,Burundi
470,Central African Republic
471,Finland
472,Norway
473,Denmark
474,Iceland
475,Switzerland
476,Netherlands
477,Canada
478,New Zealand
479,Sweden
480,Australia
481,United Kingdom
482,Austria
483,Costa Rica
484,Ireland
485,Germany
486,Belgium
487,Luxembourg
488,United States
489,Israel
490,United Arab Emirates
491,Czech Republic
492,Malta
493,France
494,Mexico
495,Chile
496,Taiwan
497,Panama
498,Brazil
499,Argentina
500,Guatemala
501,Uruguay
502,Qatar
503,Saudi Arabia
504,Singapore
505,Malaysia
506,Spain
507,Colombia
508,Trinidad & Tobago
509,Slovakia
510,El Salvador
511,Nicaragua
512,Poland
513,Bahrain
514,Uzbekistan
515,Kuwait
516,Thailand
517,Italy
518,Ecuador
519,Belize
520,Lithuania
521,Slovenia
522,Romania
523,Latvia
524,Japan
525,Mauritius
526,Jamaica
527,South Korea
528,Northern Cyprus
529,Russia
530,Kazakhstan
531,Cyprus
532,Bolivia
533,Estonia
534,Paraguay
535,Peru
536,Kosovo
537,Moldova
538,Turkmenistan
539,Hungary
540,Libya
541,Philippines
542,Honduras
543,Belarus
544,Turkey
545,Pakistan
546,Hong Kong
547,Portugal
548,Serbia
549,Greece
550,Lebanon
551,Montenegro
552,Croatia
553,Dominican Republic
554,Algeria
555,Morocco
556,China
557,Azerbaijan
558,Tajikistan
559,Macedonia
560,Jordan
561,Nigeria
562,Kyrgyzstan
563,Bosnia and Herzegovina
564,Mongolia
565,Vietnam
566,Indonesia
567,Bhutan
568,Somalia
569,Cameroon
570,Bulgaria
571,Nepal
572,Venezuela
573,Gabon
574,Palestine
575,South Africa
576,Iran
577,Ivory Coast
578,Ghana
579,Senegal
580,Laos
581,Tunisia
582,Albania
583,Sierra Leone
584,Republic of the Congo
585,Bangladesh
586,Sri Lanka
587,Iraq
588,Mali
589,Namibia
590,Cambodia
591,Burkina Faso
592,Egypt
593,Mozambique
594,Kenya
595,Zambia
596,Mauritania
597,Ethiopia
598,Georgia
599,Armenia
600,Myanmar
601,Chad
602,Democratic Republic of the Congo
603,India
604,Niger
605,Uganda
606,Benin
607,Sudan
608,Ukraine
609,Togo
610,Guinea
611,Lesotho
612,Angola
613,Madagascar
614,Zimbabwe
615,Afghanistan
616,Botswana
617,Malawi
618,Haiti
619,Liberia
620,Syria
621,Rwanda
622,Yemen
623,Tanzania
624,South Sudan
625,Central African Republic
626,Burundi
627,Finland
628,Denmark
629,Norway
630,Iceland
631,Netherlands
632,Switzerland
633,Sweden
634,New Zealand
635,Canada
636,Austria
637,Australia
638,Costa Rica
639,Israel
640,Luxembourg
641,United Kingdom
642,Ireland
643,Germany
644,Belgium
645,United States
646,Czech Republic
647,United Arab Emirates
648,Malta
649,Mexico
650,France
651,Taiwan
652,Chile
653,Guatemala
654,Saudi Arabia
655,Qatar
656,Spain
657,Panama
658,Brazil
659,Uruguay
660,Singapore
661,El Salvador
662,Italy
663,Bahrain
664,Slovakia
665,Trinidad & Tobago
666,Poland
667,Uzbekistan
668,Lithuania
669,Colombia
670,Slovenia
671,Nicaragua
672,Kosovo
673,Argentina
674,Romania
675,Cyprus
676,Ecuador
677,Kuwait
678,Thailand
679,Latvia
680,South Korea
681,Estonia
682,Jamaica
683,Mauritius
684,Japan
685,Honduras
686,Kazakhstan
687,Bolivia
688,Hungary
689,Paraguay
690,Northern Cyprus
691,Peru
692,Portugal
693,Pakistan
694,Russia
695,Philippines
696,Serbia
697,Moldova
698,Libya
699,Montenegro
700,Tajikistan
701,Croatia
702,Hong Kong
703,Dominican Republic
704,Bosnia and Herzegovina
705,Turkey
706,Malaysia
707,Belarus
708,Greece
709,Mongolia
710,North Macedonia
711,Nigeria
712,Kyrgyzstan
713,Turkmenistan
714,Algeria
715,Morocco
716,Azerbaijan
717,Lebanon
718,Indonesia
719,China
720,Vietnam
721,Bhutan
722,Cameroon
723,Bulgaria
724,Ghana
725,Ivory Coast
726,Nepal
727,Jordan
728,Benin
729,Republic of the Congo
730,Gabon
731,Laos
732,South Africa
733,Albania
734,Venezuela
735,Cambodia
736,Palestine
737,Senegal
738,Somalia
739,Namibia
740,Niger
741,Burkina Faso
742,Armenia
743,Iran
744,Guinea
745,Georgia
746,Gambia
747,Kenya
748,Mauritania
749,Mozambique
750,Tunisia
751,Bangladesh
752,Iraq
753,Democratic Republic of the Congo
754,Mali
755,Sierra Leone
756,Sri Lanka
757,Myanmar
758,Chad
759,Ukraine
760,Ethiopia
761,Swaziland
762,Uganda
763,Egypt
764,Zambia
765,Togo
766,India
767,Liberia
768,Comoros
769,Madagascar
770,Lesotho
771,Burundi
772,Zimbabwe
773,Haiti
774,Botswana
775,Syria
776,Malawi
777,Yemen
778,Rwanda
779,Tanzania
780,Afghanistan
781,Central African Republic
782,South Sudan
